aruandeaasta,annual_report_id,veehaardekood,veehaardenimetus,jaamakood,jaamanimi,markused,aastakokku,jaanuar,veebruar,marts,aprill,mai,juuni,juuli,august,september,oktoober,november,detsember
2022,44898,PIH0000042,Nõmme spordikeskus,,,,1000,1000,0,0,0,0,0,0,0,0,0,0,0
2022,45167,PIH0000034,Tehvandi tiigid,,,,15131,1520,0,0,0,0,40,30,20,0,0,10593,2928
2022,45438,PIH0000172,Mustajõgi,,,,35612800,856035,2807103,2836582,3717874,2778798,4428806,4306096,4321093,3934643,244268,1938925,3442577
2022,45686,PIH0000206,Sauna,,,,800,0,0,0,0,0,0,0,0,0,0,0,800
2022,45686,PIH0000231,Koolme,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,46059,PIH0000195,BLRT Grupp mereveehaare,,,,17268,0,0,0,2192,2192,2192,3564,3564,3564,0,0,0
2022,46076,PIH0000054,Iru EJ,,,,182054,11975,7007,13823,13307,22175,20714,13956,14947,6452,16396,21644,19658
2022,46082,PIH0000006,Sillamäe Sputnik,,,VEEVÕTT TOIMUB JÕEST SÕTKE,51000,0,0,0,0,4250,12500,14000,13500,6750,0,0,0
2022,46244,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2022,46374,PIH0000182,Marana taimla,,,,7522,0,0,0,796,1210,1588,1482,1368,552,526,0,0
2022,46389,PIH0000169,Jõulumäe,,,,10902,4896,0,0,0,0,0,0,0,0,0,0,6006
2022,46425,PIH0000226,Kohila lumetootmine,,,Lund 2022.a ei tehtud.,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,46471,PIH0000038,Suur Primorskoje,,,,5000,0,0,0,0,1000,1500,1000,800,700,0,0,0
2022,46757,PIH0000208,Räpina Paberivabrik,,,,10760,870,990,860,890,900,870,900,870,910,980,920,800
2022,46790,PIH0000141,Laatre suurfarmi pinnaveehaare,,,,4100,0,0,0,0,300,1050,950,1150,650,0,0,0
2022,46827,PIH0000221,Mebelštšik,,,,8280,0,0,0,0,0,3800,1900,1680,900,0,0,0
2022,46841,PIH0000092,Kolleri kruusakarjäär,,,,67350,2736,4229,7477,5260,3818,7478,9125,7322,8768,5827,5310,0
2022,46924,PIH0000176,Võru Spordikeskus,,,,1200,0,0,0,0,0,0,0,0,0,0,0,1200
2022,47073,PIH0000098,Laheotsa veehaare 3 Määra peakraavist,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,47073,PIH0000097,Laheotsa veehaare 2 Määra peakraavist,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,47073,PIH0000096,Laheotsa veehaare 1 Määra peakraavist,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,47073,PIH0000021,Laheotsa veehaare Kloostri jõest,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,47178,PIH0000170,Kotka kalakasvatus,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,47181,PIH0000109,Jägala Golf,,,,6543,0,0,0,0,225,979,2534,1902,851,52,0,0
2022,47260,PIH0000203,Merevee pumpla,,,,49680,0,0,0,2160,10800,8100,6480,10800,11340,0,0,0
2022,47324,PIH0000224,Ruupa Puukool,,,,4000,0,0,0,0,800,1100,800,800,500,0,0,0
2022,47540,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2022,48074,PIH0000214,Varimar marjakasvatus,,,,710,0,0,0,0,120,150,210,180,50,0,0,0
2022,48161,PIH0000031,"Sarapiku kinnistu, Laadjala",,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,48177,,,,,Mitte -asjakohane,,,,,,,,,,,,,
2022,48233,PIH0000213,MesiMagus marjakasvatus,,,,1570,0,0,0,0,240,570,540,220,0,0,0,0
2022,48485,,,,,Ei ole asjakohane,,,,,,,,,,,,,
2022,48529,PIH0000048,Aravete Agro,,,,525,0,0,0,134,145,154,31,31,30,0,0,0
2022,48605,PIH0000217,Reiu lumetootmine,,,,6,0,0,0,0,0,6,0,0,0,0,0,0
2022,48752,PIH0000082,Energeetik-2 AÜ,,,,7237,0,0,0,22,870,2300,887,1098,443,488,557,572
2022,49073,PIH0000134,Taltjärv,,,,3000,0,0,0,0,0,0,0,0,0,0,2000,1000
2022,49087,PIH0000100,Holstre suusakeskus,,,,700,0,0,0,0,0,0,0,0,0,0,0,700
2022,49453,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2022,49500,PIH0000002,Toftan,,,,141858,0,0,0,0,25650,30105,30591,30753,24705,54,0,0
2022,49559,PIH0000024,Konsu,,,,5387804,491320,395282,442196,436588,496768,530474,445898,510331,421961,435799,409828,371359
2022,49621,PIH0000227,Altmäe lumetootmine,,,,1660,0,0,0,0,0,0,0,0,0,0,0,1660
2022,49659,PIH0000230,Tamme talu,,,,2778,0,0,1,180,320,415,675,620,545,17,5,0
2022,49660,PIH0000153,Võhandu jõgi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,50041,PIH0000233,Pinnavee pumbajaam nr 1,,,,27895,0,0,0,1840,6220,6673,2190,2989,3205,3265,1513,0
2022,50041,PIH0000234,Pinnavee pumbajaam nr 2,,,,7402,0,0,0,520,770,752,521,943,1019,1028,1849,0
2022,50117,PIH0000015,Mustajõgi (EEJ kalda pumbajaam nr 1 ja nr 2),,,,7588497,494053,197550,519257,270614,450715,701898,860826,1090847,853896,674429,715973,758439
